dec_Equity_Developed_Markets,dec_Equity_Emerging_Markets,dec_Bond_US,dec_Bond_EU,dec_RealEstate_US,dec_RealEstate_EU,dec_Cash,dec_Private_Debt,dec_Infrastructure,dec_Private_Equity,obj_Risk,obj_Return,obj_Liquidity,obj_ESG,obj_Diversiy,obj_Geopolitical
,,,,,,,,,,-1,1,1,1,1,-1
Equities,Equities,Fixed_Income,Fixed_Income,Real_Assets,Real_Assets,Cash,Fixed_Income,Real_Assets,Private_Equity,,,,,,
6.778436344125768e-05,0.0050811530955328045,0.10088976841617106,0.13132252091351676,0.026248243635423156,0.0005742444537880754,0.7222794653747271,0.0004690885658215519,0.01239382308651089,0.0006739080950675014,0.00020384158615519815,0.02462174590664709,0.9541937411048774,0.7750214266121864,0.5000206891320093,0.1415293283023359
0.00011998967645954188,9.246561516701734e-07,0.3349697453349199,0.0032957030098896946,2.6539492571335716e-06,3.666435653752143e-07,0.6615620464813261,1.6393072987559214e-09,4.8552392182239583e-05,1.6216940896920646e-08,0.00034994936574355014,0.025050874718233914,0.9828714515758107,0.7663216004382105,0.5001333888271987,0.13403458605296478
0.00011134186914764919,9.246610929714959e-07,0.3349715353910858,0.0032925565912705086,8.575043517084106e-06,3.666455246941797e-07,0.6615655818251502,2.805280697199711e-09,4.85526516430124e-05,5.625162872686913e-07,0.00034995233269584586,0.025050717713277885,0.9828684961563419,0.7663211221624432,0.5001268840710814,0.13403356167358382
8.538249987404674e-05,0.004903807079916971,0.1292037922105847,0.12673900898093698,0.009036066722594263,3.016264153823261e-05,0.622978798973399,0.0004527161033990878,0.1059198779118503,0.0006503868759063327,0.0003572360080624917,0.02880133051355961,0.8938480158262712,0.7815834668946059,0.6309062946590299,0.16339401016825844
0.00010676122624745677,0.013844268641182178,0.34512581209043675,0.002277105171074019,8.222263269131876e-06,0.0015047753667319316,0.6343485456051055,0.0019309011770821678,0.0008530690846977622,5.393741731902666e-07,0.00035952023938881986,0.026482765438649573,0.9760693001748765,0.7596721580989118,0.5314294617938394,0.1436871099714482
4.879781075453522e-05,1.863002247176935e-07,0.0002345843120446308,0.3457790680373045,3.4076258298383025e-05,1.314060267943606e-06,0.6539011141875557,5.309820403824523e-08,6.966482051994088e-07,1.0928714031268679e-07,0.0003645135700788693,0.021737161137908533,0.9653834797170595,0.7826713856729892,0.503166789330053,0.1519099405439615
0.005847323506996391,0.016329921754619645,0.0005080331960853013,0.3489128444151188,3.438508952378343e-05,1.3259695227463337e-06,0.6273512405726638,5.3579430095287704e-08,0.0010147616384359004,1.1027760356037484e-07,0.0003715684542405891,0.023461941416922684,0.9596334001911541,0.7759527887224746,0.5382090015492939,0.16309191882280663
0.00011166012579708791,0.0026473002515516562,0.33114804637138195,0.003108536559013695,1.1289026462680093e-05,2.579202987529549e-05,0.6155936492849259,4.420969893367123e-08,0.04735327247605668,4.0966523621857475e-07,0.0003763089461115387,0.02757054949727032,0.946919860712221,0.7681459292936829,0.56569601496812,0.1469109494438256
7.63931894549594e-05,0.00021989338848327794,0.11370308433098612,0.14800089151155146,0.12570242373007878,3.8355895398543147e-05,0.6077095316464648,0.0018289752462098945,0.0019609545319647444,0.0007594965294073612,0.0005338395127770163,0.029001537596675758,0.9005712129483858,0.7488775551033685,0.6444972750572473,0.1603307911533543
7.698032937315576e-05,0.004421241879205825,0.12503587469421296,0.11426710005179268,0.09625679673474735,0.0004842610616468069,0.5616737997623622,0.0004081660153263637,0.09678939472034628,0.0005863847509864941,0.0006503089649442112,0.03255183692170328,0.8497341314995767,0.760486851980771,0.7079752738185305,0.17604687207577024
4.5534231832566594e-05,0.04056284106311325,0.00021889540296499108,0.32251301111904124,0.09227892701288108,0.024385954501690295,0.5199939033171299,1.8131664891088703e-07,6.500566396483914e-07,1.019780581622429e-07,0.000720159663399359,0.03045304230961412,0.8863735575507725,0.7417016398621369,0.6831513655113295,0.19405303551885061
4.489518462928168e-05,0.039993564518952175,0.00021582332972587136,0.3316585718873521,0.07572407475275247,0.02404371141563053,0.5035615127837861,0.005981749105670994,0.005354228081211951,0.01342186894028864,0.0007633644953086815,0.031460829538555724,0.8754750362436279,0.737413498444233,0.6980800328177448,0.20120361986175075
0.113618038607894,7.602986254011608e-07,0.27542891102719913,0.0027072905623765314,0.06423483997201754,3.0147271314146817e-07,0.5439694676218915,5.700704746122246e-09,3.992220996898989e-05,4.6252660918364646e-07,0.0007890268356059082,0.034175909907280505,0.9360243695945644,0.7392217653228939,0.6791040320948186,0.16921113147695305
0.024914210174499487,0.0010334657438041967,0.053291780025095256,0.039227367984649694,0.005300445858612914,0.0007372113571824723,0.6159570559517956,0.08018059839729468,0.10847154715885364,0.07088631734821216,0.001081582565255878,0.038586987186147614,0.7857256669889056,0.7330642944903102,0.6581642288771413,0.20629771238154526
0.00390522252772282,0.00045758678932965725,0.09445500617903838,0.006792978945710184,3.126259772578291e-05,5.704707786277519e-05,0.5222285559372853,0.03909433054101301,0.3289603486450489,0.004017660759263201,0.0013338380847365823,0.04013911202504396,0.7163350071412935,0.7921605745046998,0.676149509965489,0.20944113795322533
0.004065755347574532,7.375236289327592e-05,0.09833778837221438,0.007068308930522087,3.254771603419749e-05,3.174511982905077e-05,0.5436959171687041,0.00017447529533168456,0.3424829922364208,0.004036717450475897,0.001342359020277913,0.03929795143939853,0.7332936805158708,0.8042160914321129,0.6414966718525846,0.19946222364564278
3.802531073785335e-05,0.08952030082864568,0.00020146250559663326,0.3016764164320161,0.08492980481987174,0.023250777540400013,0.4232568344526946,1.0242481556404773e-07,0.07712618182872792,9.385649417466507e-08,0.0013819912963983004,0.037708153521367985,0.8235227266603389,0.7315318485639,0.7868099413753694,0.23543502051214588
0.0009099518086137894,0.0035850254481821055,0.08784232804226254,0.11573004918069761,0.08468853495770468,2.999258731152057e-05,0.4759932259540137,0.09805705492139907,0.055017330188874496,0.0781465069109406,0.0014557031085054182,0.04096111015968027,0.7519802186740533,0.6971203773792484,0.8070954794563251,0.22852692751861933
0.0005483796098714682,0.037834712009362274,0.0001756560329607256,0.09903170054512501,5.25318705863967e-05,0.0007265757497425846,0.5675826452229025,1.3530500170540004e-08,0.21319149156963496,0.08085629385931396,0.00176751651986629,0.04233436720971348,0.7474064451988683,0.7517794186967697,0.6829133145717516,0.22565753858152282
0.17122689632456298,0.009830566369716789,0.00031313167928688615,0.0054182480231262245,4.249500317336373e-05,0.0036312469728490954,0.545262287977701,0.08442426250080547,0.17974668209353442,0.00010418305524360055,0.0019497301931389577,0.04361394484366199,0.7834756197841476,0.7534441324342798,0.7042164081657676,0.22432437912461223
5.499822894057935e-05,0.10905794875598307,9.902958723841209e-05,0.38382322045284323,1.73341464854863e-05,1.4810292990729032e-06,0.19391714738347798,0.2616314711552671,0.05139724608692367,1.2317354139949294e-07,0.0020804505877853765,0.043684596756695115,0.7126413010764614,0.666696133848213,0.8134328027405169,0.3220031522890011
0.022909846771052334,0.032757330941016245,0.04900442381999321,0.03636127569365009,0.00012956464844190787,0.0006779022538798693,0.5664029351348939,0.07373002035494823,0.09803615022196166,0.11999055016016252,0.0022112439668910975,0.04479570768120214,0.7497853365141076,0.7009995056999506,0.7160231380211545,0.23857041307862864
0.0047831212338464435,0.011691210316411377,0.08890252402511183,4.1887371672205844e-05,2.840270565604341e-05,0.00012125167827723705,0.491529656488628,0.00903881481893149,0.31124384036003405,0.08261929100143124,0.0022588761253834124,0.04674797530989472,0.6779363026002501,0.7578078124926214,0.718394425025031,0.23470563859481514
0.0017756101302487568,0.0018795658408188348,1.1075286486190783e-05,0.14748938433073758,4.081863586615633e-06,4.361541765866466e-09,0.3455059907790114,8.91641307728978e-08,0.5033341647625124,3.348092561997896e-08,0.0027235884774045823,0.04616143434645583,0.6070998872566092,0.8168658771012091,0.6728005830332894,0.2494365836327878
6.19896515177048e-05,0.19667234854829124,0.10068715427201766,0.09201542484721326,0.07751233768919535,0.00034552604957205623,0.45229688411849667,0.00032868226542396,0.07960745678222199,0.00047219577605009074,0.002886130350551824,0.04563806933504641,0.8294971727828058,0.7006843735300536,0.8064409006519564,0.26785728210415327
